id,text,author,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/05b716c3-07f5-5da9-b595-ebde5274f475,Says Donald Trump has outlined 'policies that read like a Kremlin wish list.',Michael Morell,03/25/2019,"candidate biography,economy,energy,foreign policy,history,human rights,military,trade,transparency",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/71b5c61e-86a7-57f5-b696-a6c9dca4dae0,'Libya supplies the oil for China. We get no oil from Libya.',Donald Trump,03/25/2019,"china,energy,foreign policy",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/71c1b0ed-9b88-5c3e-bce9-285374ff4652,'A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400.',Marcy Kaptur,03/25/2019,"afghanistan,energy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/b735127e-ccf3-5138-9811-789f4768bd3c,"The United States can immediately tap a domestic energy resource of 'more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.'",Eric Hovde,03/25/2019,"climate change,energy,environment,foreign policy,gas prices",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/c286175b-33a9-571b-8403-0ead249dfb03,"About 750,000 people die in China each year from auto emissions.",Nancy Pelosi,03/25/2019,"environment,foreign policy,transportation",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/c9554b8a-a838-558e-b0ef-0e6a2ce5c1d1,'Long gas lines forming in North Korea.',Donald Trump,03/24/2019,"energy,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/cb011001-f313-5863-8541-a59ebf4320df,Says President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.,Rick Perry,03/23/2019,"energy,foreign policy,new hampshire 2012",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/cfee7247-30e4-5329-b389-70685a81719c,Says Barack Obama told the U.S. Coast Guard Academy 'that the number one threat to the military and the world today is global warming.',Scott Walker,03/23/2019,"climate change,environment,foreign policy,homeland security,military,terrorism",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/f35faef3-d062-5c88-a17d-6b42919056d0,Climate change is 'directly related' to the growth of terrorism.,Bernie Sanders,03/23/2019,"climate change,terrorism",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/203d10f3-86a1-5dc9-8045-27d4b701da97,The decision for the United States to buy heavy water from Iran 'will directly subsidize Iran’s nuclear program.',Paul Ryan,03/22/2019,"energy,foreign policy,nuclear",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/49238b65-e412-5fac-b03f-2ba46bc9d275,"Every time the price of gasoline rises 1 cent, 'it's a billion dollars out of our economy that goes to Saudi Arabia.'",Tommy Thompson,03/22/2019,"corrections and updates,economy,energy,iraq",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/3a7f9b5b-8638-53b8-9e4c-ab57bd6e18cc,Proposed tax changes are a 'handout' to BP.,National Taxpayers Union,03/21/2019,"cap and trade,climate change,corporations,energy,environment,foreign policy,message machine 2010,oil spill",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5861f72d-842b-5fc9-805f-176f6d298274,Says Ronald Reagan 'got the Saudis to flood the market with cheap oil.',Michael Reagan,03/21/2019,"energy,foreign policy,history",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5d59986d-5be4-5ff3-837f-1be4eee1381d,"'Obama spent $7 billion to bring electricity to Africa, failed miserably.'",Daniel Greenfield,03/21/2019,"energy,foreign policy",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/5e62b301-ef5a-5404-b0c2-f8af3728c7e0,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army 'put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.'",Chain email,03/21/2019,"energy,environment,military",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/947bd700-f718-5249-b298-d902f26972a7,'Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.',Donald Trump,03/21/2019,"energy,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/b92a8eb2-9ec2-51e1-8586-4e1d4bd38a59,Says 'Donald Trump says climate change is a hoax invented by the Chinese.',Hillary Clinton,03/21/2019,"climate change,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e61c91f0-a54f-53ba-b8db-eeb5eb0c3d20,The Arab Spring … 'drove up gas prices.',Barack Obama,03/21/2019,"economy,energy,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/f11aa060-2942-5e82-9728-ebbd59ed8472,Says ExxonMobil 'fought to kill' a rule requiring oil and mining companies to disclose payments made to foreign governments.,Sherrod Brown,03/21/2019,"energy,foreign policy,transparency",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/048d5639-a78d-5a40-b921-5939a1ca46cf,'ISIS is making millions of dollars a week selling Libyan oil.',Donald Trump,03/20/2019,"energy,foreign policy,terrorism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/229071d0-739f-5a1b-bab5-f2dc4ef7f263,'Barbara Boxer's worried about the weather' instead of terrorism as the biggest threat to national security.,Carly Fiorina,03/20/2019,"candidate biography,environment,homeland security,message machine 2010,terrorism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/34f5f354-e718-5fc0-9a3f-0641aa370d33,Says Hillary Clinton 'gave up 20 percent of America's uranium supply to Russia.',Donald Trump,03/20/2019,"energy,foreign policy,military,nuclear",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/4f60465d-3945-5f0b-b533-14b191a7c8b2,"Russian natural gas company 'Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).'",Pat Robertson,03/20/2019,"energy,foreign policy,trade",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/6662ffec-69f0-58c6-80d5-0f7a8a6a0e0e,"'I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",Rex Tillerson,03/20/2019,"energy,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/8930472b-9f35-5afe-87ab-67aa2a45ec3e,The Republican-controlled Wisconsin Senate approved a bill 'denying veterans the right to recover their medical costs for cancers they developed while serving their country.',Chris Larson,03/20/2019,"environment,military,veterans",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/9ce91b5c-a90a-52a8-a641-c91b1bbd2e83,'USAID put $8 billion up and attracted more than $45 billion in a public-private partnership called Power Africa.',David Perdue,03/20/2019,"energy,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/b149f98e-bd43-500e-889e-0ecf2a73cc49,'Our federal government has lent $2 billion to the state-owned oil company of Brazil to allow them to explore for oil and gas.',George Allen,03/20/2019,"energy,foreign policy,trade",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/b5eb316c-9382-53aa-b319-e2dacb8a1c44,The climate-change agreement between the United States and China 'requires the Chinese to do nothing at all for 16 years.',Mitch McConnell,03/20/2019,"china,climate change,environment,foreign policy",politifact,MIXTURE
