id,text,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/0704b547-a8db-562d-b066-b56fd64c9e24,"'I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.'",03/25/2019,"federal budget,jobs,message machine 2012,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/0e97bfd5-7cd8-5bb6-9c78-82254fb8642b,"I am the only U.S. Senate candidate who spoke out against bombing Syria, and who challenged Georgia’s governor and insurance commissioner over obstruction to the Affordable Care Act.",03/25/2019,"foreign policy,health care",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/10efd7d9-ef3a-5fca-b8f1-f9a3e08cc3dd,"'Tim Kaine doubled down in his support of devastating defense cuts, saying the ‘the deal was the right thing to do.’'",03/25/2019,"deficit,federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/17e9ab63-d9b7-5284-a896-a3d114ef5ae9,'We're spending $1 trillion a year on our foreign policy.',03/25/2019,"federal budget,foreign policy,military",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/1cb48a49-2466-5cea-a09f-5f6ad497c5ea,"'Donna Shalala left me with 12 million doses' of smallpox vaccine and 'I created enough' to vaccinate 'every man, woman and child against smallpox in America.'",03/25/2019,"federal budget,homeland security,public health,terrorism",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/20879ac1-ef30-56cc-b82e-329f3fd35e18,Guantanamo Bay detainees will get the H1N1 vaccine.,03/25/2019,"health care,pundits,terrorism",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/2afed0b7-70e0-5f5b-a06d-ffc4e6780873,Says Hillary Clinton 'plans to massively increase admissions (of Middle East refugees) … including a 500 percent increase in Syrian refugees coming into our country.',03/25/2019,"families,foreign policy,homeland security,human rights,immigration,terrorism",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/3e609a51-2c8d-51c2-9b1e-cf0f0cb83199,Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.,03/25/2019,"congressional rules,federal budget,military",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/476f93b8-0fc9-5c20-8c6a-588aeead062a,Congress' decision to 'spend less around the world' on embassy security contributed to 'tragedies' like Benghazi.,03/25/2019,"congress,federal budget,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/4ca614f3-4b60-5de7-8556-a01db0ae0295,"'An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces.'",03/25/2019,"education,families,immigration,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/4d46bf88-6f03-5a80-857e-33aeffddb463,The U.S. military is at risk of losing its 'military superiority' because 'our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947.',03/25/2019,"federal budget,history,military",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/5510b4c1-7102-59ed-9d6a-cb83c74abea8,Says Donald Trump 'wants us to pull out of NATO.',03/25/2019,"federal budget,foreign policy,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5ae91529-77e5-56af-b2a4-9e6c92986d27,The estimated price of President Trump’s border wall is the same as the cost of 'one and a half aircraft carriers.',03/25/2019,"federal budget,homeland security,immigration,military",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/60f2ab4b-042a-5e4f-85e7-1f9615bfac6a,The federal government 'can cut all of the non-military discretionary spending and not balance the budget.',03/25/2019,"deficit,federal budget,medicare,military,social security",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/692768ae-97f1-5935-8e5a-3dfe9aa5b206,"Says Kentucky Rep. Andy Barr 'would let shady payday lenders take advantage of our troops' and that he took '$36,550 from payday lenders.'",03/25/2019,"families,military,veterans",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/8974f52c-a6b0-59f3-9025-093e24e90526,"'It costs us, logistically, three times more to fight in Afghanistan than it does in any other place.'",03/25/2019,"afghanistan,federal budget,iraq,terrorism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/af51190e-a5de-5649-96c3-e13ec7b853dc,The U.S. military 'is in 130 countries. We have 900 bases around the world.',03/25/2019,"federal budget,foreign policy,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/bb4f24e2-0a49-53b3-9b62-b0c1c0dd3d18,"'As a percentage of our gross domestic product, the defense budget remains just 3.6 percent. This figure is low by all historical standards.'",03/25/2019,"deficit,federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/ce0f55d7-84df-5bc2-b8e1-e79cde870348,'The sequester is not something that I've proposed. It is something that Congress has proposed.',03/25/2019,"debates,federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e6df62b6-733a-5b64-ab24-b2c5a2e9ed6e,'You look at defense … we're spending more than the rest of the world combined.',03/25/2019,"federal budget,military,new hampshire 2012",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e7a5d6fc-e8ad-5063-92c8-bbc764de5f01,"Cervical cancer in Africa is 'fully preventable with basic education, screening and vaccines.'",03/25/2019,"foreign policy,health care,public health",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/013854ff-d176-5a7c-8667-85f5c7e56903,'The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.',03/24/2019,"federal budget,military,this week - abc news",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/187b7893-ff4e-5da7-a9de-a9dc9831fe24,"Rep. Paul Ryan's budget proposal cuts 'nothing' from Medicare, Social Security or defense in the next two to three years, and 'in three years, he does not cut one dime from the debt.'",03/24/2019,"deficit,federal budget,medicare,military,social security,this week - abc news",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/1cdb351f-ebf1-5c9a-a4d4-9031f5a07a46,The Obama administration 'actually cut out the democracy in Egypt funds inside the State Department.',03/24/2019,"federal budget,foreign policy,this week - abc news",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/35a9b472-9211-508d-a057-dafaabb2367f,"The United States spends '$2.2 billion on free cell phones, $27 million on Moroccan pottery classes' and pays for 'the travel expenses for the watermelon queen in Alabama.'",03/24/2019,"agriculture,federal budget,foreign policy,poverty",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/4b93d4e2-2088-560f-b183-04f5734abc09,"About 106,000 soldiers had 'a prescription of three weeks or more' for pain, depression or anxiety medication.",03/24/2019,"health care,military,this week - abc news",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/52e23293-b3a1-5bb4-a773-2b447cbc409c,The only budget Ted Cruz 'ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.',03/24/2019,"federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/6de9e828-cb17-54fc-ae0b-52cea0536415,'$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.',03/24/2019,"federal budget,health care,medicare,military",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/74c10569-56b5-547e-a30c-5ed7b0608a84,'It isn't me cutting the budget. It's the Congress' decision on sequestration. So it isn't secretary of defense or the president doing this.',03/24/2019,"debt,federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e16998b0-1a64-549c-ad13-36d12794f9bc,Says Rand Paul denied that he 'put forward a bill ... to zero out foreign aid and specifically spoke about Israel.',03/24/2019,"federal budget,foreign policy,israel",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/4853a3fd-e5bb-5767-9ed6-45e01a0a53cc,'President Obama is shrinking our military.',03/23/2019,"federal budget,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/48a95208-9495-5357-bbbf-9f222b3534c3,The National Defense Authorization Act for fiscal year 2019 'includes the largest pay raise in nearly 10 years.',03/23/2019,"federal budget,military",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/50748d36-4f59-5580-a074-1f239a418c79,China holds 26 percent of the U.S. debt.,03/23/2019,"deficit,federal budget,foreign policy",politifact,FALSE
