id,text,author,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/c3cee991-71f0-5202-8736-5f3958a0ee6a,Says Obama adviser David Plouffe took 'large piles of cash' from a joint venture partner of a company owned by Iran’s Revolutionary Guard.,Secure America Now,09/12/2019,"candidate biography,foreign policy,message machine 2012",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5097cf13-ba26-5f29-9d02-7776d47f2b33,"'For his first interview as president, Barack Obama chose Arab TV for an apology.'",Secure America Now,07/04/2019,"foreign policy,message machine 2012",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/00898e50-19f8-5408-a32f-e467deeb148e,"'A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.'",Barack Obama,03/25/2019,"corrections and updates,debates,foreign policy",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/00b081e7-05be-5eaa-9145-83c1c53fcef0,Russia and China are 'doing naval exercises together someplace.',Donald Trump,03/25/2019,"china,foreign policy,terrorism",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/01049a6b-8be8-5b78-bcc1-555257f759bd,"'The president said he’s going to bring in 250,000 (Syrian and Iraqi) refugees into this country.'",Sean Hannity,03/25/2019,"foreign policy,immigration,terrorism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/01d22f26-7fbb-5980-91aa-36a1312e3d68,Says Donald Trump 'publicly invited Putin to hack into Americans’ (emails).',Hillary Clinton,03/25/2019,"civil rights,crime,foreign policy,homeland security,technology",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/0275e859-7078-526c-a26a-3c9b5830e1b5,'Al Franken said almost exactly what Trump said' about John McCain’s military record.,Rush Limbaugh,03/25/2019,"military,patriotism",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/03608307-8d9b-5e3b-8282-f19f0069b27d,'Now we have ISIS coming over the (U.S.-Mexico) border.',Jeff DeWit,03/25/2019,terrorism,politifact,FALSE
http://data.gesis.org/claimskg/creative_work/055a9aaa-2824-5577-ba34-a5284d1fff10,'The pass rate for a high school level test to join the military' is 35 to 40 percent.,Jeb Bush,03/25/2019,"education,military",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/05829758-2237-5346-8477-ea09bc7d4e38,'It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID',"Ron Castorina, Jr.",03/25/2019,"immigration,terrorism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/05b716c3-07f5-5da9-b595-ebde5274f475,Says Donald Trump has outlined 'policies that read like a Kremlin wish list.',Michael Morell,03/25/2019,"candidate biography,economy,energy,foreign policy,history,human rights,military,trade,transparency",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/0704b547-a8db-562d-b066-b56fd64c9e24,"'I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.'",Tammy Baldwin,03/25/2019,"federal budget,jobs,message machine 2012,military",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/0999fb2a-76b3-5260-a092-28522aff028b,Says Ron Johnson 'helped companies ship jobs overseas.',Russ Feingold,03/25/2019,"foreign policy,jobs,trade",politifact,FALSE
