id,text,author,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/9bc99b41-4794-5db6-b0ad-fe0cdee9c55d,California’s Prop 55 'prevents $4 billion in new cuts to our schools.',Yes on 55,03/26/2055,"education,state finances",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e6fcf064-6ccc-5a5b-b66f-a18fc4954ddb,"Says an election clerk in Green Bay refused to allow early voting on the UW-Green Bay campus because she 'was afraid it would help Democrats,' showing 'outrageous partisan bias.'",Our Democracy 2020,03/26/2020,"bipartisanship,city government,education,elections",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/07c995ba-5e94-5952-a308-c0823dd82247,Says state schools superintendent candidate Don Pridemore 'voted for the largest cuts to public education in our state history' and for '$2.3 billion in tax breaks for corporations and the wealthy.',One Wisconsin Now,12/03/2019,"corporations,education,small business,state budget,taxes",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/fc3a83f6-fe59-5b87-835a-b5708a615ebd,"'The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.'",One Wisconsin Now,11/27/2019,"corporations,economy,income,labor,wealth",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/cea7537e-2707-53d3-a110-583b2f7fac07,"In his first meeting with University of Wisconsin System officials, Republican Governor elect Scott Walker told them to prepare for cuts.",One Wisconsin Now,11/09/2019,"education,state budget",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/a06d30ae-18be-50a2-9144-6af7cf04a188,"Scott Walker was elected governor on a promise not to take campaign contributions 'from the date of his inauguration until the signing of the state budget,' but broke it by taking nearly $5.6 million.",One Wisconsin Now,09/26/2019,"campaign finance,elections,state budget",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/c3cee991-71f0-5202-8736-5f3958a0ee6a,Says Obama adviser David Plouffe took 'large piles of cash' from a joint venture partner of a company owned by Iran’s Revolutionary Guard.,Secure America Now,09/12/2019,"candidate biography,foreign policy,message machine 2012",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/08320275-d9ab-5ee7-a5c5-bc21eb65cfdd,'What is the maximum number of students allowed in your classroom? ... 30 or more!',Vote NO on 8,08/26/2019,"children,education,florida amendments",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/8a5a0c3d-1f31-5772-9519-aeaa1f9e93ec,"'There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level.'",Yes on 8,08/26/2019,"children,education,florida amendments",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/f963e145-ed39-5b30-a890-110ac3dd98f2,"Deer baiting, planned for Block Island by DEM, is illegal in Rhode Island.",Richard August,08/26/2019,"animals,crime,environment,government regulation,guns,pundits,recreation,regulation",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/1b4f1b71-73cf-536b-8d1f-849c10c1f48e,Wisconsin's $3 billion incentive offer to Foxconn is 'the largest gift ever by a state to a foreign company.',One Wisconsin Now,08/07/2019,"jobs,state budget,state government spending,states,taxes,technology",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/dddf1c4a-3660-56f9-98d8-a30b675a4271,Says Scott Walker 'wants state taxpayers to dole out up to $250 million annually in incentives' to Foxconn 'to lure a manufacturing plant to Wisconsin that he claims will generate $181 million in tax revenue.',One Wisconsin Now,07/28/2019,"china,economy,jobs,state government spending,taxes",politifact,MIXTURE
